trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
4208,False,"{'a': 0.002, 'e': 0.00022174111615772321}",20,2,33.676742627956614,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
4209,False,"{'a': 0.002, 'e': 0.00022129807711213288}",25,12,27.300368691838948,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
4210,False,"{'a': 0.002, 'e': 0.00022085592325914605}",20,15,10.756893397237013,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
4211,False,"{'a': 0.002, 'e': 0.00022041465283014714}",20,3,27.09851036345801,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
4212,False,"{'a': 0.002, 'e': 0.00021997426406005304}",20,10,18.815229849415754,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4213,False,"{'a': 0.002, 'e': 0.0002195347551873089}",25,13,21.00027528247235,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4214,False,"{'a': 0.002, 'e': 0.0002190961244538778}",20,13,10.94889362794241,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
4215,False,"{'a': 0.002, 'e': 0.00021865837010523663}",30,16,25.62497739923019,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4216,False,"{'a': 0.002, 'e': 0.00021822149039036782}",25,0,39.58182056758062,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
4217,False,"{'a': 0.002, 'e': 0.00021778548356175115}",20,15,8.286144259181036,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
4218,False,"{'a': 0.002, 'e': 0.00021735034787535913}",25,10,30.24903458150766,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
4219,False,"{'a': 0.002, 'e': 0.00021691608159064878}",25,0,31.76953830046506,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
4220,False,"{'a': 0.002, 'e': 0.00021648268297055364}",30,8,35.919410136191665,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
4221,False,"{'a': 0.002, 'e': 0.0002160501502814794}",20,10,15.996621676762423,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4222,False,"{'a': 0.002, 'e': 0.00021561848179329395}",35,21,26.87956027953204,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4223,False,"{'a': 0.002, 'e': 0.0002151876757793232}",20,16,8.879867898556563,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
4224,False,"{'a': 0.002, 'e': 0.00021475773051634283}",25,15,18.93813186618715,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4225,False,"{'a': 0.002, 'e': 0.00021432864428457053}",20,3,26.661384830079907,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
4226,False,"{'a': 0.002, 'e': 0.00021390041536766149}",25,0,38.775234493995384,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
4227,False,"{'a': 0.002, 'e': 0.00021347304205269875}",25,20,9.939930968698306,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
4228,False,"{'a': 0.002, 'e': 0.00021304652263018885}",25,19,12.537296780284253,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
4229,False,"{'a': 0.002, 'e': 0.0002126208553940539}",25,11,24.83392144009967,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4230,False,"{'a': 0.002, 'e': 0.00021219603864162367}",25,11,27.877369688519543,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4231,False,"{'a': 0.002, 'e': 0.00021177207067363092}",35,19,29.78205412741928,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
4232,False,"{'a': 0.002, 'e': 0.0002113489497942036}",20,7,20.176657171808746,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
4233,False,"{'a': 0.002, 'e': 0.0002109266743108569}",20,15,7.924859094344031,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
4234,False,"{'a': 0.002, 'e': 0.000210505242534489}",20,6,22.712845923431466,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4235,False,"{'a': 0.002, 'e': 0.0002100846527793716}",20,6,22.054798569654285,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4236,False,"{'a': 0.002, 'e': 0.0002096649033631454}",30,20,17.663317545810685,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4237,False,"{'a': 0.002, 'e': 0.00020924599260681257}",20,14,8.318408486198555,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
4238,False,"{'a': 0.002, 'e': 0.00020882791883472881}",25,3,30.63910618576889,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
4239,False,"{'a': 0.002, 'e': 0.00020841068037459883}",20,14,7.903609452283057,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
4240,False,"{'a': 0.002, 'e': 0.00020799427555746858}",20,10,20.14847200159187,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4241,False,"{'a': 0.002, 'e': 0.00020757870271771752}",35,5,43.38652665066181,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
4242,False,"{'a': 0.002, 'e': 0.0002071639601930545}",25,12,24.592425404053365,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
4243,False,"{'a': 0.002, 'e': 0.00020675004632450807}",25,9,28.016683842680155,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
4244,False,"{'a': 0.002, 'e': 0.00020633695945642262}",25,11,24.371415911093866,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4245,False,"{'a': 0.002, 'e': 0.00020592469793645046}",25,8,32.47895174899127,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
4246,False,"{'a': 0.002, 'e': 0.00020551326011554428}",25,0,42.19237413431872,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
4247,False,"{'a': 0.002, 'e': 0.00020510264434795255}",20,7,24.738307067888314,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
4248,False,"{'a': 0.002, 'e': 0.00020469284899121205}",20,14,14.141077641752297,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
4249,False,"{'a': 0.002, 'e': 0.0002042838724061401}",25,19,12.248762933052667,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
4250,False,"{'a': 0.002, 'e': 0.0002038757129568305}",20,1,33.61687538847438,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
4251,False,"{'a': 0.002, 'e': 0.00020346836901064417}",20,7,22.926974391857893,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
4252,False,"{'a': 0.002, 'e': 0.00020306183893820521}",25,11,24.333139628943776,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4253,False,"{'a': 0.002, 'e': 0.00020265612111339308}",20,16,8.747705655066376,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
4254,False,"{'a': 0.002, 'e': 0.00020225121391333529}",20,14,10.229973857746874,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
4255,False,"{'a': 0.002, 'e': 0.0002018471157184028}",25,16,16.050581243600767,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
4256,False,"{'a': 0.002, 'e': 0.0002014438249122027}",30,12,35.686680240427705,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
4257,False,"{'a': 0.002, 'e': 0.00020104133988157045}",20,13,14.513537979327971,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
4258,False,"{'a': 0.002, 'e': 0.00020063965901656613}",30,4,47.61521294243671,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
